,"(0,0)","(0,1)","(0,2)","(1,0)","(1,1)","(1,2)","(2,0)","(2,1)","(2,2)",Winner
0,2,1,2,1,1,1,2,1,2,1
1,1,0,0,1,1,1,2,2,2,2
2,2,2,2,0,0,1,1,0,0,2
3,0,1,1,2,1,2,1,2,0,1
4,2,1,0,2,1,2,2,0,1,2
5,1,2,0,2,2,2,1,1,0,2
6,2,1,2,1,1,2,2,1,1,1
7,0,0,2,0,1,2,1,0,2,2
8,1,1,2,2,2,1,2,2,1,2
9,2,2,1,1,2,2,2,1,1,0
10,2,2,2,1,1,2,1,1,2,2
11,2,0,1,2,1,2,1,2,0,1
12,1,2,2,2,1,0,1,0,1,1
13,1,2,2,2,1,2,1,1,2,2
14,1,2,2,2,1,2,2,1,1,1
15,2,1,2,2,1,1,1,2,2,0
16,2,1,1,1,1,2,1,2,2,1
17,2,2,1,2,2,1,1,1,2,2
18,2,0,1,2,0,1,1,2,1,1
19,2,0,1,0,1,0,1,0,2,1
20,1,2,1,1,1,2,2,1,2,0
21,1,1,1,2,2,1,1,2,2,1
22,1,0,1,2,0,1,2,2,2,2
23,0,2,1,0,1,2,1,1,2,1
24,1,2,1,2,1,1,2,2,2,2
25,1,1,1,2,2,2,2,1,2,2
26,2,1,0,2,1,1,2,0,1,2
27,1,2,2,1,2,2,1,1,1,1
28,2,2,1,1,2,2,2,1,1,0
29,2,2,1,1,2,2,2,1,1,0
30,2,1,1,2,2,1,2,1,1,1
31,2,0,1,2,2,0,1,1,2,2
32,2,2,1,1,2,1,2,1,2,2
33,2,2,2,2,0,1,1,1,0,2
34,1,1,1,0,2,0,0,2,0,1
35,1,2,0,2,2,2,1,1,0,2
36,2,1,2,1,1,2,2,1,2,2
37,0,1,2,2,1,2,0,1,2,2
38,1,1,1,2,2,0,0,0,0,1
39,1,2,1,2,1,2,2,1,2,0
40,1,2,1,1,1,2,2,1,2,0
41,2,2,2,1,1,2,1,1,1,1
